reference_no,type,citation
1,Partial,"Anālayo 2009, “Views and the Tathāgata – A Comparative Study and Translation of the Brahmajāla in the Chinese Dīrgha-āgama,” In: K.L. Dhammajoti et al. ed. <i>Buddhist and Pali Studies in Honour of the Venerable Professor Kakkapalliye Anuruddha</i>, Hong Kong: Centre of Buddhist Studies, University of Hong Kong, pp. 183-234."
1,Partial,"Anālayo 2015, “Brahmavihāra and Awakening, A Study of the Dīrgha-āgama Parallel to the Tevijja-Sutta,” <i>Asian Literature and Translation</i>, 3(4)."
1,Partial,"Anālayo, 2017, <i>Dīrgha-āgama Studies</i>, Taipei: Dharma Drum Publishing, at <a href='https://buddhistuniversity.net/content/monographs/da-studies_analayo'>https://buddhistuniversity.net/content/monographs/da-studies_analayo</a>."
1,Partial,"DiSimone, Charles 2016, “Intertextuality, Contradiction, and Confusion in the Prasādanīya-sūtra, Sampasādanīya-sutta, and 自歡喜經 (Zì huānxǐ jīng),” Buddhist Studies Review, Vol.33-2: 141-162."
1,Partial (Sutra 30),"Howard, A. F. 1986, “The Sutra of Cosmology Constituting the Fourth Part of the Dīrghāgama, Translated by Buddhayaśas during the Later Ch'in Dynasty (384-417),” In: <i>The Imagery of the Cosmological Buddha</i>. Netherlands: E.J. Brill, pp. 115-156."
1,Partial (sutras 1-10),"Ichimura, Shohei 2015, <i>The Canonical Book of the Buddha’s Lengthy Discourses, Volume I</i>, (Taishō Volume 1, Number 1),    translated from the Chinese, BDK English Tripiṭaka Series, Moraga, California: Bukkyo Dendo Kyokai, at <a href='https://bdkamerica.org/product/the-canonical-book-of-the-buddhas-lengthy-discourses-vol-i/'>https://bdkamerica.org/product/the-canonical-book-of-the-buddhas-lengthy-discourses-vol-i</a>."
1,Partial (sutras 11-20),"Ichimura, Shohei 2016, <i>The Canonical Book of the Buddha’s Lengthy Discourses, Volume II</i>, (Taishō Volume 1, Number 1),     translated from the Chinese, BDK English Tripiṭaka Series, Moraga, California: Bukkyo Dendo Kyokai, at <a href='https://bdkamerica.org/product/the-canonical-book-of-the-buddhas-lengthy-discourses-vol-ii/'>https://bdkamerica.org/product/the-canonical-book-of-the-buddhas-lengthy-discourses-vol-ii</a>."
1,Partial (sutras 21-30),"Ichimura, Shohei 2018, <i>The Canonical Book of the Buddha’s Lengthy Discourses, Volume III</i>, (Taishō Volume 1, Number 1),  translated from the Chinese, BDK English Tripiṭaka Series, Moraga, California: Bukkyo Dendo Kyokai, at <a href='https://bdkamerica.org/product/the-canonical-book-of-the-buddhas-lengthy-discourses-vol-iii/'>https://bdkamerica.org/product/the-canonical-book-of-the-buddhas-lengthy-discourses-vol-iii</a>."
1,Partial,"Kieschnick, John and Simon Wiles 2017, <i>A Primer in Chinese Buddhist Writings, Volume One: Foundations</i>, Stanford, California: Stanford University, <a href='https://religiousstudies.stanford.edu/people/john-kieschnick/primer-chinese-buddhist-writings'>https://religiousstudies.stanford.edu/people/john-kieschnick/primer-chinese-buddhist-writings</a>."
16,Full,"Pannasiri, B 1950, “Sigālovāda-Sutta,” <i>Visva-Bharati Annals</i> 3, pp.150-228."
17,Full,"Pannasiri, B 1950, “Sigālovāda-Sutta,” <i>Visva-Bharati Annals</i> 3, pp.150-228."
22,Full,"MacQueen, Graeme 1988, <i>A Study of the Śrāmaṇyaphala-Sūtra</i>, Wiesbaden: Otto Harrassowitz, pp. 51–71."
26,Partial (Sutras 1–71),"Bingenheimer, Marcus; Anālayo; and Roderick S. Bucknell, eds. 2013, <i>The Madhyama Āgama (Middle Length Discourses): Volume 1</i>, BDK English Tripiṭaka Series. Berkeley: Bukkyo Dendo Kyokai America, at <a href='https://bdkamerica.org/product/the-madhyama-agama-middle-length-discourses-volume-i/'>https://bdkamerica.org/product/the-madhyama-agama-middle-length-discourses-volume-i/</a>."
26,Partial (Sutras 72–131),"Anālayo, Bhikkhu and Roderick S. Bucknell, eds. 2020, <i>The Madhyama Āgama (Middle Length Discourses): Volume 2</i>, BDK English Tripiṭaka Series. Berkeley: Bukkyo Dendo Kyokai America, at <a href='https://bdkamerica.org/product/the-madhyama-%E2%80%82gama-middle-length-discourses-volume-ii/'>https://bdkamerica.org/product/the-madhyama-%E2%80%82gama-middle-length-discourses-volume-ii/</a>."
26,Partial,"Pāsādika, Bhikkhu 2000, “The Madhyamāgama Parallel to the Rathavinīta Sutta of the Majjhima Nikāya,” In: Perera, L. S., Dhammasami, U. eds. <i>Buddhism for the New Millennium</i>, United Kingdom: World Buddhist Foundation."
26,Partial,"Anālayo, Bhikkhu 2009, “Karma and Liberation - the Karajakāya-sutta and its Madhyama-āgama Parallel,” In: P. Pāsādikadānaṁ ed. <i>Festschrift für Bhikkhu Pasadika </i>, Germany: Indica et Tibetica Verlag"
26,Partial,"Anālayo, Bhikkhu 2007, “The Arahant Ideal in Early Buddhism - the Case of Bakkula,” <i>Indian International Journal of Buddhist Studies</i>, vol. 8, pp. 1–21."
26,Partial,"Analayo, Bhikkhu 2009, “The Bodhisattva and Kassapa Buddha–A Study Based on the Madhyama-āgama Parallel to the Ghaṭikāra-sutta,” <i>The Indian International Journal of Buddhist Studies</i>, 10, pp.1-33."
26,Partial,"Anālayo, Bhikkhu 2009, “Karma and Liberation - the Karajakāya-sutta and its Madhyama-āgama Parallel,” In: P. Pāsādikadānaṁ ed. <i>Festschrift für Bhikkhu Pasadika </i>, Germany: Indica et Tibetica Verlag."
99,Partial,"Anālayo, Bhikkhu 2012, <i>On the Five Aggregates (1) - A Translation of Saṃyukta-āgama Discourses 1 to 32</i>, New Taipei City: Dharma Drum Buddhist College, at <a href='https://buddhistuniversity.net/content/canon/sa1_analayo'>https://buddhistuniversity.net/content/canon/sa1_analayo</>"
99,Partial,"Anālayo, Bhikkhu 2013, <i>On the Five Aggregates (2) ─ A Translation of Saṃyukta-āgama Discourses 256 to 272</i>, New Taipei City: Dharma Drum Buddhist College, at <a href='https://buddhistuniversity.net/content/canon/sa2_analayo'>https://buddhistuniversity.net/content/canon/sa2_analayo</>."
99,Partial,"Anālayo, Bhikkhu 2013, <i>On the Five Aggregates 3 ─ A Translation of Saṃyukta-āgama Discourses 59 to 87</i>, New Taipei City: Dharma Drum Buddhist College, at <a href='https://buddhistuniversity.net/content/canon/sa3_analayo'>https://buddhistuniversity.net/content/canon/sa3_analayo</>."
99,Partial,"Anālayo, Bhikkhu 2014, <i>On the Five Aggregates 4 ─ A Translation of Saṃyukta-āgama Discourses 33 to 58</i>, New Taipei City: Dharma Drum Buddhist College, at <a href='https://buddhistuniversity.net/content/canon/sa4_analayo'>https://buddhistuniversity.net/content/canon/sa4_analayo</>."
99,Partial,"Anālayo, Bhikkhu 2014, <i>On the Five Aggregates 5 ─ A Translation of Saṃyukta-āgama Discourses 103 to 110</i>, New Taipei City: Dharma Drum Buddhist College, at <a href='https://buddhistuniversity.net/content/canon/sa5_analayo'>https://buddhistuniversity.net/content/canon/sa5_analayo</>."
99,"Partial. Numbers 232, 236, 249, 273, 287, 293, 296-297, 299-301, 335.","Choong, M. K. 2010, <i>Annotated Translation of Sutras from the Chinese Samyuktagama relevant to the Early Buddhist Teachings on Emptiness and the Middle Way</i>, 2nd edition, Songkhla, Thailand: International Buddhist College."
100,Partial,"Bingenheimer, Marcus 2011, <i>Studies in Āgama Literature - With Special Reference to the Shorter Chinese Saṃyuktāgama</i>, Taipei: Xinwenfeng 新文豐, at <a href='http://mbingenheimer.net/publications/bingenheimer_StudiesInAgamaLit_2011.pdf'>http://mbingenheimer.net/publications/bingenheimer_StudiesInAgamaLit_2011.pdf</a>."
101,Partial,"Lin, Y.M. 2010, <i>A Study on the Anthology Za Ahan Jing (T101): Centered on Its Linguistic Features, Translation Style, Authorship and School Affiliation</i>, Saarbrücken: LAP LAMBERT Academic Publishing."
120,Full,"Rulu 2016, “Sūtra of Aṅgulimālika,” In: <i>The Tathāgata Store - Selected Mahāyāna Sūtras</i>, Bloomington: Author House."
125,Partial,"Thích Huyên-Vi 1983–1984, “Ekottarāgama I-XIV,” <i>Buddhist Studies Review</i> 1.2. Also other translations by this author in the same location."
