reference_no,language,citation
848,Tibetan,"Wayman, A. and Tajima, R. 1992, <i>The Enlightenment of Vairocana</i>, Motilal Banarsidass Publishers, <a href='https://books.google.com/books?id=rlhQwTAYR-oC'>https://books.google.com/books?id=rlhQwTAYR-oC</a>."
848,Tibetan,"Hodge, Stephen tr. 2003,<i>Maha Vairocana Abhisambodhi Tantra With Buddhaguhyas Commentary</i>, New York: Routledge, https://archive.org/details/mahavairocanaabhisambodhitantrawithbuddhaguhyascommentarystephenhodgeroutledge_202003_21_q, English translation from Sanskrit."
865,Sanskrit,"Lokesh Chandra and David L. Snellgrove. Sarva-tathagata-tattva-sahgraha: Facsimile Reproduction of a Tenth Century Sanskrit Manuscript from Nepal. Sata-pitaka Series, Vol. 269. New Delhi: International Academy of Indian Culture, 1981."
865,Tibetan,"dpal gsang ba 'dus pa'i rgyud kyi rgyud 'grel zhes bya ba, BDRC, at <a href=""http://purl.bdrc.io/resource/WA0RT0648"">http://purl.bdrc.io/resource/WA0RT0648</a>, accessed 201-02-28"
892,"Tibetan,English from Sanskrit","Snellgrove, D. 2021, <i>The Hevajra Tantra: A Critical Study</i>, Thailand: Orchid Press Publishing Limited."
892,Tibetan,"kye'i rdo rje'i rgyud, BDRC, at <a href=""http://purl.bdrc.io/resource/WA0RK0417"">http://purl.bdrc.io/resource/WA0RK0417</a>, accessed 2021-02-27."
893A,Tibetan,"Tokahu 807, O. 431"
895A,Tibetan,Dpuṅ-bzaṅ-gis shus-pa
936,"Sanskrit, Tibetan","Walleser, Max 1916, “Aparimitāyur-jñāna-nāma-mahāyāna-sūtram: Nach einer nepalesischen Sanskrit-Handschrift mit der tibetischen und chinesischen Version,” Sitzungsberichte der Heidelberger Akademie der Wissenschaften. Philosophisch-historische Klasse 12, https://digi.hadw-bw.de/view/sbhadwphkl_1916_12/0005', accessed 2021-10-23."
991,"Sanskrit: Bendall 1880, p. 288.",
1300,Tibetan,Peking no. 1027
1375,Sanskrit,"Cohen, R. S. 2012, <i>The Splendid Vision: Reading a Buddhist Sutra</i>, United States: Columbia University Press."
1419,Sanskrit,"Willemen, Charles 2006, <i>Defining the Image - Measurements in image-making</i>, India: Sri Satguru Publications"
