reference_no,volume,no_scrolls,title_zh,title_pinyin,title_en,attribution_zh,attribution_method_zh,attribution_en,attribution_method_en,dynasty_zh,dynasty_en,date_range,summary,notes,previous_source,source_url,source_access_date,section
1693,33,1,人本欲生經註,Ren Ben Yu Sheng Jing Zhu,,道安,撰,Dao An,Composed,東晉,Eastern Jin,,A commentary on T 14 《人本欲生經》 Ren Ben Yu Sheng Jing,,,http://tripitaka.cbeta.org/T33n1693,2016-10-22,Sūtra Commentaries
1694,33,,,,,,,,,,,,,,,,,
1695,33,,,,,,,,,,,,,,,,,
1696,33,,,,,,,,,,,,,,,,,
1697,33,,,,,,,,,,,,,,,,,
1698,33,,,,,,,,,,,,,,,,,
1699,33,,,,,,,,,,,,,,,,,
1700,33,,,,,,,,,,,,,,,,,
1701,33,,,,,,,,,,,,,,,,,
1702,33,,,,,,,,,,,,,,,,,
1703,33,,,,,,,,,,,,,,,,,
1704,33,,,,,,,,,,,,,,,,,
1705,33,,,,,,,,,,,,,,,,,
1706,33,,,,,,,,,,,,,,,,,
1707,33,,,,,,,,,,,,,,,,,
1708,33,,,,,,,,,,,,,,,,,
1709,33,,,,,,,,,,,,,,,,,
1710,33,,,,,,,,,,,,,,,,,
1711,33,,,,,,,,,,,,,,,,,
1712,33,,,,,,,,,,,,,,,,,
1713,33,,,,,,,,,,,,,,,,,
1714,33,,,,,,,,,,,,,,,,,
1715,33,,,,,,,,,,,,,,,,,
1716,33,,,,,,,,,,,,,,,,,
1717,33,,,,,,,,,,,,,,,,,
1718,34,,,,,,,,,,,,,,,,,
1719,34,,,,,,,,,,,,,,,,,
1720,34,,,,,,,,,,,,,,,,,
1721,34,,,,,,,,,,,,,,,,,
1722,34,,,,,,,,,,,,,,,,,
1723,34,,,,,,,,,,,,,,,,,
1724,34,,,,,,,,,,,,,,,,,
1725,34,,,,,,,,,,,,,,,,,
1726,34,,,,,,,,,,,,,,,,,
1727,34,,,,,,,,,,,,,,,,,
1728,34,,,,,,,,,,,,,,,,,
1729,34,,,,,,,,,,,,,,,,,
1730,34,,,,,,,,,,,,,,,,,
1731,35,,,,,,,,,,,,,,,,,
1732,35,,,,,,,,,,,,,,,,,
1733,35,,,,,,,,,,,,,,,,,
1734,35,,,,,,,,,,,,,,,,,
1735,35,,,,,,,,,,,,,,,,,
1736,36,,,,,,,,,,,,,,,,,
1737,36,,,,,,,,,,,,,,,,,
1738,36,,,,,,,,,,,,,,,,,
1739,36,,,,,,,,,,,,,,,,,
1740,36,,,,,,,,,,,,,,,,,
1741,36,,,,,,,,,,,,,,,,,
1742,36,,,,,,,,,,,,,,,,,
1743,36,,,,,,,,,,,,,,,,,
1744,37,,,,,,,,,,,,,,,,,
1745,37,,,,,,,,,,,,,,,,,
1746,37,,,,,,,,,,,,,,,,,
1747,37,,,,,,,,,,,,,,,,,
1748,37,,,,,,,,,,,,,,,,,
1749,37,,,,,,,,,,,,,,,,,
1750,37,,,,,,,,,,,,,,,,,
1751,37,,,,,,,,,,,,,,,,,
1752,37,,,,,,,,,,,,,,,,,
1753,37,,,,,,,,,,,,,,,,,
1754,37,,,,,,,,,,,,,,,,,
1755,37,,,,,,,,,,,,,,,,,
1756,37,,,,,,,,,,,,,,,,,
1757,37,,,,,,,,,,,,,,,,,
1758,37,,,,,,,,,,,,,,,,,
1759,37,,,,,,,,,,,,,,,,,
1760,37,,,,,,,,,,,,,,,,,
1761,37,,,,,,,,,,,,,,,,,
1762,37,,,,,,,,,,,,,,,,,
1763,37,,,,,,,,,,,,,,,,,
1764,37,,,,,,,,,,,,,,,,,
1765,38,,,,,,,,,,,,,,,,,
1766,38,,,,,,,,,,,,,,,,,
1767,38,,,,,,,,,,,,,,,,,
1768,38,,,,,,,,,,,,,,,,,
1769,38,,,,,,,,,,,,,,,,,
1770,38,,,,,,,,,,,,,,,,,
1771,38,,,,,,,,,,,,,,,,,
1772,38,,,,,,,,,,,,,,,,,
1773,38,,,,,,,,,,,,,,,,,
1774,38,,,,,,,,,,,,,,,,,
1775,38,,,,,,,,,,,,,,,,,
1776,38,,,,,,,,,,,,,,,,,
1777,38,,,,,,,,,,,,,,,,,
1778,38,,,,,,,,,,,,,,,,,
1779,38,,,,,,,,,,,,,,,,,
1780,38,,,,,,,,,,,,,,,,,
1781,38,,,,,,,,,,,,,,,,,
1782,38,,,,,,,,,,,,,,,,,
1783,39,,,,,,,,,,,,,,,,,
1784,39,,,,,,,,,,,,,,,,,
1785,39,,,,,,,,,,,,,,,,,
1786,39,,,,,,,,,,,,,,,,,
1787,39,,,,,,,,,,,,,,,,,
1788,39,,,,,,,,,,,,,,,,,
1789,39,,,,,,,,,,,,,,,,,
1790,39,,,,,,,,,,,,,,,,,
1791,39,,,,,,,,,,,,,,,,,
1792,39,,,,,,,,,,,,,,,,,
1793,39,,,,,,,,,,,,,,,,,
1794,39,,,,,,,,,,,,,,,,,
1795,39,,,,,,,,,,,,,,,,,
1796,39,,,,,,,,,,,,,,,,,
1797,39,,,,,,,,,,,,,,,,,
1798,39,,,,,,,,,,,,,,,,,
1799,39,,,,,,,,,,,,,,,,,
1800,39,,,,,,,,,,,,,,,,,
1801,39,,,,,,,,,,,,,,,,,
1802,39,,,,,,,,,,,,,,,,,
1803,39,,,,,,,,,,,,,,,,,
